🕘️更新时间,#genre#
2026-09-26 00:16:59,http://xjj1.716888.xyz/fenlei/4k/4k.php

📺央视频道,#genre#
CCTV-9,http://39.87.249.126:8090/udp/239.253.254.79:8000
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=53ba5973e313102776c533632a495108&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=61d2faba189c1fee2c26fb733648e7d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=802331ccd41b8d8283234e98b55fe720&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=5c17e973e6d2241c96beb2627f7dc3fe&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-10,http://58.35.95.16:20009/rtp/233.18.204.76:5140
CCTV-10,http://222.92.158.110:9889/rtp/239.49.8.54:9818
CCTV-10,http://101.81.76.108:4022/rtp/233.18.204.76:5140
CCTV-10,http://39.77.156.202:4002/rtp/239.253.254.234:8000$山东联通21
CCTV-10,http://106.111.244.12:58099/rtp/239.49.8.54:9818
CCTV-10,http://39.77.25.244:4002/rtp/239.253.254.234:8000$山东联通31
CCTV-10,http://39.77.161.85:4002/rtp/239.253.254.234:8000$山东联通11
CCTV-10,http://60.4.29.46:8077/rtp/239.253.92.196:6061$河北联通11
CCTV-10,http://183.222.15.202:4321/rtp/239.11.0.112:5140
CCTV-10,http://182.135.66.163:18888/rtp/239.94.2.31:5140
CCTV-10,http://182.135.66.163:1888/rtp/239.94.0.10:5140
CCTV-10,http://182.135.66.163:18888/rtp/239.94.0.10:5140
CCTV-10,http://182.135.66.163:1888/rtp/239.94.2.31:5140
CCTV-10,http://183.236.43.98:4013/udp/239.77.0.134:5146$广东电信11
CCTV-10,http://121.237.245.243:8888/rtp/239.49.8.54:9818$江苏电信12
CCTV-10,http://39.87.249.126:8090/udp/239.253.254.234:8000
CCTV-11,https://live.264788.xyz/channel/cctv11?streamid=2d225001eb069683c2fc67d97be29689&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-11,https://live.264788.xyz/channel/cctv11?streamid=61be47c4b483b6f38fc816d9d022a325&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
