分类: 📡卫视咪咕, 名称: 贵州卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 86 ms, 最高速率: 29.76 MiB/s, 平均速率: 13.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 湖北卫视, 有效: 5, IPv4: 11, IPv6: 0, 最小延迟: 91 ms, 最高速率: 2.93 MiB/s, 平均速率: 1.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 广西卫视, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 63 ms, 最高速率: 33.85 MiB/s, 平均速率: 19.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 云南卫视, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 56 ms, 最高速率: 37.35 MiB/s, 平均速率: 25.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 东南卫视, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 64 ms, 最高速率: 35.42 MiB/s, 平均速率: 32.67 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 海南卫视, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 77 ms, 最高速率: 31.18 MiB/s, 平均速率: 26.66 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 青海卫视, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 58 ms, 最高速率: 38.01 MiB/s, 平均速率: 31.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 甘肃卫视, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 63 ms, 最高速率: 35.13 MiB/s, 平均速率: 30.09 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视咪咕, 名称: 陕西卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 77 ms, 最高速率: 31.05 MiB/s, 平均速率: 24.96 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 宁夏卫视, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 71 ms, 最高速率: 33.24 MiB/s, 平均速率: 18.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 新疆卫视, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 77 ms, 最高速率: 30.83 MiB/s, 平均速率: 28.24 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视咪咕, 名称: 吉林卫视, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 78 ms, 最高速率: 31.73 MiB/s, 平均速率: 17.44 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视咪咕, 名称: 西藏卫视, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 67 ms, 最高速率: 34.02 MiB/s, 平均速率: 27.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视咪咕, 名称: 兵团卫视, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 61 ms, 最高速率: 35.24 MiB/s, 平均速率: 29.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视咪咕, 名称: 东方卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 72 ms, 最高速率: 33.61 MiB/s, 平均速率: 30.19 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 792 ms, 最高速率: 0.13 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 62 ms, 最高速率: 34.61 MiB/s, 平均速率: 24.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: mpeg2video, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 58 ms, 最高速率: 37.14 MiB/s, 平均速率: 29.09 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 63 ms, 最高速率: 35.36 MiB/s, 平均速率: 21.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 🌊港·澳·台, 名称: 翡翠台, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 77 ms, 最高速率: 1.19 MiB/s, 平均速率: 0.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
